learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights,KL-div
404475.0,40.231993968,1.8943100829447932E-6,404475.0,73.8,2.1657953696788343,404475.0,185936.0,10.0,0.0,0.0
409868.0,40.71888744,1.9174574431498475E-6,409868.0,66.2,28.062147493881046,409868.0,183768.0,10.0,0.0,0.0
415261.0,41.223504101,1.9420969703245392E-6,415261.0,66.7,32.98018789698673,415261.0,188744.0,10.0,0.0,0.0
420654.0,41.733933017,1.9663420992937168E-6,420654.0,68.60000000000001,12.957182695666173,420654.0,183608.0,10.0,0.0,0.0
426047.0,42.223883664,1.989566862077181E-6,426047.0,66.10000000000001,31.2780259967727,426047.0,183232.0,10.0,0.0,0.0
431440.0,42.722883934,2.013151404181928E-6,431440.0,64.2,28.393125740071046,431440.0,182696.0,10.0,0.0,0.0
436833.0,43.213108038,2.0365585627342534E-6,436833.0,64.4,28.990872534626927,436833.0,184568.0,10.0,0.0,0.0
442226.0,43.705745096,2.0602155172197085E-6,442226.0,63.4,25.650859687327337,442226.0,185624.0,10.0,0.0,0.0
447619.0,44.208081612,2.0846823703274358E-6,447619.0,70.5,40.847149033101516,447619.0,188272.0,10.0,0.0,0.0
453012.0,44.720618829,2.10938935831929E-6,453012.0,66.10000000000001,13.217555141411868,453012.0,186336.0,10.0,0.0,0.0
458405.0,45.215700242,2.133084797330641E-6,458405.0,66.9,33.58747993579455,458405.0,185008.0,10.0,0.0,0.0
463798.0,45.713017323,2.1572454183134908E-6,463798.0,67.10000000000001,33.97021635290813,463798.0,187792.0,10.0,0.0,0.0
469191.0,46.209899409,2.1807925767973783E-6,469191.0,67.2,26.41384137695857,469191.0,183184.0,10.0,0.0,0.0
474584.0,46.68137225,2.2027452902786695E-6,474584.0,61.199999999999996,22.45707159530585,474584.0,179984.0,10.0,0.0,0.0
479977.0,47.204167962,2.2279435457099243E-6,479977.0,65.7,29.131060017520955,479977.0,186312.0,10.0,0.0,0.0
485370.0,47.736012382,2.254018223551E-6,485370.0,69.89999999999999,34.555542993312045,485370.0,189512.0,10.0,0.0,0.0
490763.0,48.259730678,2.2768178577318803E-6,490763.0,64.5,28.38699265714517,490763.0,168280.0,10.0,0.0,0.0
496156.0,48.778802732,2.301779699845663E-6,496156.0,66.5,30.064382520688422,496156.0,185888.0,10.0,0.0,0.0
501549.0,49.311841722,2.327057978817499E-6,501549.0,64.1,14.94422805371545,501549.0,183312.0,10.0,0.0,0.0
506942.0,49.835947992,2.3495219777852805E-6,506942.0,65.5,21.761611030478964,506942.0,165680.0,10.0,0.0,0.0
512335.0,50.360427192,2.374969622833581E-6,512335.0,68.4,35.09667719634078,512335.0,187552.0,10.0,0.0,0.0
517728.0,50.908087684,2.4019908631302098E-6,517728.0,66.9,29.28196626044748,517728.0,190720.0,10.0,0.0,0.0
523121.0,51.461341736,2.429298391483088E-6,523121.0,73.0,36.026233982864504,523121.0,190792.0,10.0,0.0,0.0
528514.0,51.998871322,2.454840801562395E-6,528514.0,62.2,23.04058896345038,528514.0,183680.0,10.0,0.0,0.0
533907.0,52.540898264,2.48096486218263E-6,533907.0,68.60000000000001,36.48661768989289,533907.0,186304.0,10.0,0.0,0.0
539300.0,53.094531862,2.5043793518408274E-6,539300.0,61.4,22.544396508477966,539300.0,163480.0,10.0,0.0,0.0
539383.0,53.11065787,2.505094333292011E-6,539383.0,62.1,23.062556840327407,539383.0,171384.0,10.0,0.0,0.0
