"time","bagging","boosting","bagging_adwin","boosting_adwin","pame1","pame2","pame3","pame1adwin","pame2adwin","pame3adwin"
201,1.45494545481954e-08,1.45332814731283e-08,1.70515939009335e-08,1.79769548789081e-08,1.11442569324602e-08,1.12901867150226e-08,1.12432289129765e-08,1.35675352726214e-08,1.40395564568912e-08,1.35600696266939e-08
204,1.4729887860378e-08,1.47151600780172e-08,1.72773870371551e-08,1.82163599091768e-08,1.127914189788e-08,1.14261546724166e-08,1.1378656757832e-08,1.37416891171369e-08,1.42225125001081e-08,1.37329516571015e-08
207,1.49085268602624e-08,1.48948437006233e-08,1.7498396235752e-08,1.84494876023051e-08,1.14121687853564e-08,1.15594268559789e-08,1.15129197389322e-08,1.39103063110345e-08,1.44103734054044e-08,1.39015801924384e-08
210,1.50888883957122e-08,1.5075914735405e-08,1.7722806434443e-08,1.86828165281895e-08,1.15475897839148e-08,1.16932988886825e-08,1.1647847733152e-08,1.40800209340619e-08,1.45918608977935e-08,1.40729718169818e-08
213,1.52704155344123e-08,1.52565422886072e-08,1.7947943657022e-08,1.89143370473343e-08,1.167305623099e-08,1.18172166536873e-08,1.17839165049315e-08,1.42569129083388e-08,1.47744673846041e-08,1.42459337755624e-08
216,1.54537161698048e-08,1.54364394328205e-08,1.81698666057715e-08,1.91451444432471e-08,1.1809031815088e-08,1.19512866969117e-08,1.19073261540818e-08,1.44294048594601e-08,1.49559350915626e-08,1.44200274773356e-08
219,1.5636285007656e-08,1.56175287481977e-08,1.83929519430486e-08,1.93760377332071e-08,1.19442919434007e-08,1.20865875482766e-08,1.20428638234755e-08,1.45862618085908e-08,1.51231086112931e-08,1.45787850695766e-08
222,1.58199450214807e-08,1.57992498778014e-08,1.8627573350223e-08,1.96234317783349e-08,1.20779114435179e-08,1.22204499677858e-08,1.21772350328271e-08,1.47555127571523e-08,1.53046669255901e-08,1.47494186389363e-08
225,1.60036259922737e-08,1.59814617847113e-08,1.8859974913326e-08,1.98703784052158e-08,1.22132059806813e-08,1.23553612896759e-08,1.23126815719758e-08,1.49388825145529e-08,1.54983467136365e-08,1.4932825318103e-08
228,1.61868250941589e-08,1.61623765841706e-08,1.90823149129397e-08,2.01062627720584e-08,1.23478016989161e-08,1.2490419434487e-08,1.24483691149722e-08,1.51124367115067e-08,1.56810465810572e-08,1.51063356394155e-08
231,1.63799957901343e-08,1.63551442241876e-08,1.93037455758556e-08,2.0338602241526e-08,1.24691887106809e-08,1.26138601934951e-08,1.2570012490412e-08,1.52813162900176e-08,1.58589200865436e-08,1.52733791051225e-08
234,1.65632896754746e-08,1.65371813317595e-08,1.9527594647066e-08,2.05743476560339e-08,1.26054602463688e-08,1.27523153787065e-08,1.2705686943856e-08,1.5454021369136e-08,1.60404473153626e-08,1.54447443214969e-08
237,1.6746533801268e-08,1.67230141782595e-08,1.97516554403698e-08,2.08134953349994e-08,1.27434439593781e-08,1.28906377883214e-08,1.2843488325429e-08,1.56286337968873e-08,1.62247154886069e-08,1.56187025882718e-08
240,1.69301642703617e-08,1.69072506965531e-08,1.99718051289374e-08,2.10625966742304e-08,1.28832858744864e-08,1.30246840291346e-08,1.29785381340753e-08,1.57841742284265e-08,1.63925170922817e-08,1.57757054446058e-08
243,1.71137295714124e-08,1.7091717387384e-08,2.02039161877148e-08,2.1298141186821e-08,1.30196426164214e-08,1.31593137305437e-08,1.31142281601847e-08,1.59528485848341e-08,1.65733566739038e-08,1.59457772815807e-08
246,1.72975040710697e-08,1.72728032308651e-08,2.04234216768564e-08,2.15341167824881e-08,1.31433505583824e-08,1.32817830957679e-08,1.32372740687616e-08,1.61224409355554e-08,1.67544897256171e-08,1.61162982643892e-08
249,1.74815363273004e-08,1.74530753044246e-08,2.06464029473418e-08,2.17673776382705e-08,1.32783419429283e-08,1.34165406774936e-08,1.33725321396378e-08,1.62916330245303e-08,1.69358311452344e-08,1.62867962745743e-08
252,1.76654222734997e-08,1.76345544995574e-08,2.08723859033713e-08,2.20045949963646e-08,1.34132729878297e-08,1.35514590939921e-08,1.3508061721178e-08,1.6462889834957e-08,1.71185250935828e-08,1.64595475886845e-08
255,1.78495669908594e-08,1.78162992947383e-08,2.10961144195725e-08,2.22405279551695e-08,1.35487720505914e-08,1.36866220814155e-08,1.36437425690165e-08,1.66325290744048e-08,1.7300435962648e-08,1.66307126940414e-08
258,1.80330026576606e-08,1.80087186468972e-08,2.13334642243613e-08,2.24852317011356e-08,1.36837887301193e-08,1.38236738739701e-08,1.37786339786173e-08,1.68167290735038e-08,1.74949743449233e-08,1.6815585547847e-08
261,1.82290331349956e-08,1.81901589780508e-08,2.15714205069571e-08,2.27303730228916e-08,1.38067148926999e-08,1.39489538056196e-08,1.39022786605503e-08,1.69728463508892e-08,1.76636957880316e-08,1.69747041364138e-08
264,1.84125422834833e-08,1.8371698754227e-08,2.17962628104517e-08,2.2962810503381e-08,1.39408755433208e-08,1.40851149080611e-08,1.40375787318022e-08,1.71455912200775e-08,1.78444330733062e-08,1.71463188050853e-08
267,1.85990062511071e-08,1.85527148374543e-08,2.20209629204352e-08,2.31948465329781e-08,1.40748885379131e-08,1.42197710684728e-08,1.41728744038836e-08,1.7315897932719e-08,1.80224192049603e-08,1.73166126434919e-08
270,1.87810011961663e-08,1.87335044770067e-08,2.22418134102701e-08,2.34274750302608e-08,1.42075750052205e-08,1.43535189775667e-08,1.43069439136258e-08,1.74848326079299e-08,1.81997938311555e-08,1.74874947640589e-08
