learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
9310.0,0.622921645,8.974916233041636E-9,9310.0,75.0,43.08869058459297,9310.0,58520.0,10.0,26.0,38739.299999999996,20662.45689330719,3288.0,0.0
9500.0,0.634350126,9.148927305220732E-9,9500.0,74.8,42.48151191454396,9500.0,58856.0,10.0,26.0,38961.7,20764.289870432203,3288.0,0.0
9690.0,0.645488371,9.316098781712356E-9,9690.0,76.0,44.79281202412554,9690.0,58016.0,10.0,27.0,39186.6,20860.98581467328,3288.0,0.0
9880.0,0.656849145,9.487103905942708E-9,9880.0,75.3,42.82407407407406,9880.0,58184.0,10.0,27.0,39398.9,20945.81665549366,3288.0,0.0
10070.0,0.668276674,9.65961050268263E-9,10070.0,75.1,42.598159452630796,10070.0,58352.0,10.0,27.0,39607.2,21025.57744790325,3288.0,0.0
10260.0,0.679793639,9.823646941234671E-9,10260.0,77.4,47.12089660497438,10260.0,55056.0,10.0,28.0,39772.600000000006,21087.7616899787,2976.8,311.2
10450.0,0.691027982,9.992748995404694E-9,10450.0,76.7,46.16650031422129,10450.0,58184.0,10.0,29.0,45441.6,26316.703045446673,3288.0,0.0
10640.0,0.702508585,1.0165557814790975E-8,10640.0,76.4,45.688195006996104,10640.0,58184.0,10.0,30.0,50792.7,31158.337864687197,3288.0,0.0
10830.0,0.713853733,1.033238309550203E-8,10830.0,77.8,48.05802526906879,10830.0,56840.0,10.0,33.0,61865.7,39297.55742566366,3288.0,0.0
11020.0,0.724879289,1.04943263716706E-8,11020.0,78.4,50.06957896634783,11020.0,56776.0,10.0,34.0,64441.1,39716.21664913604,3231.2,56.79999999999999
11210.0,0.735510358,1.065186155965345E-8,11210.0,76.4,45.30149076614997,11210.0,57280.0,10.0,34.0,65381.6,39824.71098177891,3231.2,56.79999999999999
11400.0,0.746301436,1.081317481775251E-8,11400.0,77.0,45.33934758946523,11400.0,57784.0,10.0,34.0,65916.50000000001,39882.17206228311,3231.2,56.79999999999999
