learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
63.0,0.835514108,5.8695334609364056E-8,63.0,74.60317460317461,49.700598802395206,63.0,286888.0,10.0,0.0,58.8,5.3391634800469125,16250.400000000001,5.205125678918229,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
64.0,0.846281427,5.9494464898991085E-8,64.0,75.0,50.57915057915058,64.0,286888.0,10.0,0.0,59.599999999999994,5.385577447632189,16250.400000000001,5.205125678918229,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
65.0,0.855958395,6.021279154056062E-8,65.0,75.38461538461539,51.4018691588785,65.0,286936.0,10.0,0.0,61.199999999999996,5.17214763044435,16255.199999999999,5.650565360111169,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
66.0,0.865249084,6.090244448012155E-8,66.0,75.75757575757575,52.04359673024522,66.0,286936.0,10.0,0.0,61.9,5.214190040435597,16255.199999999999,5.650565360111169,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
67.0,0.874478981,6.158758479618364E-8,67.0,76.11940298507463,52.650176678445234,67.0,286936.0,10.0,0.0,62.699999999999996,5.289507433484604,16255.199999999999,5.650565360111169,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
68.0,0.883715496,6.227327371784796E-8,68.0,76.47058823529412,53.42465753424656,68.0,286960.0,10.0,0.0,64.5,5.062388544726469,16257.599999999999,4.587906809089349,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
69.0,0.892916548,6.29563299813908E-8,69.0,76.81159420289855,54.15282392026578,69.0,286960.0,10.0,0.0,64.89999999999999,5.020956084253275,16257.599999999999,4.587906809089349,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
70.0,0.902169027,6.364320401864747E-8,70.0,75.71428571428571,52.13193885760256,70.0,286960.0,10.0,0.0,67.10000000000001,5.412844805542543,16257.599999999999,4.587906809089349,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
71.0,0.911432732,6.433100729882509E-8,71.0,76.05633802816901,52.833137944509566,71.0,287000.0,10.0,0.0,67.6,5.420537078760942,16261.600000000002,4.7777260979118745,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
72.0,0.92066918,6.501678682565481E-8,72.0,76.38888888888889,53.42465753424656,72.0,287000.0,10.0,0.0,68.4,5.42463516438356,16261.600000000002,4.7777260979118745,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
