learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1653.0,0.683733274,4.3075228650880366E-8,1653.0,47.3,-4.909025759445797,1653.0,246912.0,10.0,0.0,1660.5,10.16120071645079,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1710.0,0.702098821,4.424835204244903E-8,1710.0,47.5,-4.7887458882892115,1710.0,246912.0,10.0,0.0,1719.0,10.764137989949152,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1767.0,0.720818671,4.544410700262836E-8,1767.0,48.3,-3.1277427591159395,1767.0,246912.0,10.0,0.0,1776.8999999999999,10.839690442484468,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1824.0,0.74091974,4.672808913718911E-8,1824.0,48.6,-2.54732339515434,1824.0,246912.0,10.0,0.0,1836.4,10.967831751687896,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1881.0,0.759941412,4.794312337330234E-8,1881.0,48.1,-3.7726040325354093,1881.0,246912.0,10.0,0.0,1894.4,12.193987589518594,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1938.0,0.777803087,4.9084061280302725E-8,1938.0,48.9,-2.2220799692733646,1938.0,246912.0,10.0,0.0,1947.1000000000001,13.362842345682132,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1995.0,0.797918168,5.036893844973298E-8,1995.0,48.0,-3.7625911913541783,1995.0,246912.0,10.0,0.0,2003.5,14.6729153355577,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2052.0,0.816938342,5.158387699913236E-8,2052.0,47.3,-4.872282673586515,2052.0,246912.0,10.0,0.0,2061.5,15.41445930143369,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2109.0,0.835594668,5.277557428053272E-8,2109.0,48.4,-2.716820078351433,2109.0,246912.0,10.0,0.0,2119.3,17.674243658184878,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2166.0,0.855501018,5.4047118483694914E-8,2166.0,48.0,-4.181275419229471,2166.0,246912.0,10.0,0.0,2172.3,18.25501453178155,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2223.0,0.875637592,5.5333368546677157E-8,2223.0,48.0,-4.236408173738035,2223.0,246912.0,10.0,0.0,2230.5,18.6280851285245,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2280.0,0.89305998,5.6446246420654184E-8,2280.0,47.8,-4.681383559006616,2280.0,246912.0,10.0,0.0,2287.1000000000004,19.265080672899675,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2337.0,0.912444924,5.7684485132011304E-8,2337.0,48.0,-3.8317924961562353,2337.0,246912.0,10.0,0.0,2348.1,19.58539705438155,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2394.0,0.93353503,5.903164330155902E-8,2394.0,48.0,-3.4517059584203778,2394.0,246912.0,10.0,0.0,2399.4,20.40816829931908,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2451.0,0.952767519,6.026014374992503E-8,2451.0,47.9,-3.2975922342416606,2451.0,246912.0,10.0,0.0,2456.4,20.823704441493273,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2508.0,0.97040824,6.138696793050818E-8,2508.0,47.5,-3.6124224387009143,2508.0,246912.0,10.0,0.0,2506.8,20.814951890941813,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2565.0,0.989165932,6.259329251365118E-8,2565.0,48.3,-2.098852227216349,2565.0,248592.0,10.0,0.0,2565.0,19.627644903157503,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2622.0,1.007909101,6.379868310918414E-8,2622.0,48.8,-1.1214207559616134,2622.0,248592.0,10.0,0.0,2625.1,19.471603255339115,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2679.0,1.025784875,6.494829072716339E-8,2679.0,48.6,-1.3906696912910543,2679.0,248592.0,10.0,0.0,2682.5,19.585850902004644,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2736.0,1.044393477,6.614502719402316E-8,2736.0,49.0,-0.5889383725104326,2736.0,248592.0,10.0,0.0,2733.5,19.779478703387948,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2793.0,1.063088396,6.734731478727115E-8,2793.0,49.2,-0.32665410608557083,2793.0,248592.0,10.0,0.0,2791.6,20.13465779308018,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2850.0,1.080484922,6.846610152153921E-8,2850.0,49.3,0.18899125915426734,2850.0,248592.0,10.0,0.0,2850.3999999999996,21.1755624351384,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2907.0,1.098289742,6.961114602191997E-8,2907.0,48.9,0.025825031498716768,2907.0,248592.0,10.0,0.0,2907.7999999999997,20.294388934437613,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2964.0,1.117291024,7.083313610405974E-8,2964.0,49.1,0.6674212560009326,2964.0,248592.0,10.0,0.0,2966.2000000000003,20.076963028417495,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3021.0,1.13598639,7.203545244429264E-8,3021.0,49.5,1.3864479593829322,3021.0,248592.0,10.0,0.0,3021.5,20.380955162438607,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3078.0,1.153925145,7.318911042883995E-8,3078.0,48.3,-0.2614166143057752,3078.0,248592.0,10.0,0.0,3073.9,20.69538327475209,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3135.0,1.223808263,7.823888436566213E-8,3135.0,48.0,-0.33651322898335334,3135.0,279320.0,10.0,1.0,3773.4,1037.6400810385928,18992.8,3184.7999999999997,1.6,0.6,1.3,0.3,1.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,1.0,0.0
3192.0,1.279890366,8.251447543324078E-8,3192.0,48.3,1.218999579655317,3192.0,294696.0,10.0,1.0,4143.8,1341.2487282794011,20508.0,4700.0,2.6,1.5999999999999999,1.8,0.7999999999999999,1.8,0.7999999999999999,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0
3249.0,1.304553022,8.450143739562277E-8,3249.0,48.9,2.176992641259484,3249.0,311424.0,10.0,1.0,4356.2,1494.3730666142983,22229.6,6421.599999999999,2.6,1.5999999999999999,1.8,0.7999999999999999,1.8,0.7999999999999999,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0
3306.0,1.328446696,8.642916562956864E-8,3306.0,48.6,1.6475000478368202,3306.0,311864.0,10.0,1.0,4516.7,1599.5414276876008,22256.0,6447.999999999999,2.8,1.8,1.9,0.9,1.9,0.9,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0
3363.0,1.353163838,8.84250700615864E-8,3363.0,49.2,1.7503142829513592,3363.0,312136.0,10.0,1.0,4650.4,1673.2729683666876,22282.4,6445.120068185955,3.0,1.7888543819998317,2.0000000000000004,0.8944271909999159,2.0000000000000004,0.8944271909999159,0.6000000000000001,0.49888765156985887,0.0,0.0,0.0,0.0,1.0,0.0
3420.0,1.38354083,9.088907112330408E-8,3420.0,49.5,1.1540509223012145,3420.0,313544.0,10.0,1.0,4763.9,1732.5546292493443,22386.4,6433.641697618335,3.8,1.7178798302300167,2.4,0.8589399151150083,2.4,0.8589399151150083,1.0,0.4714045207910317,0.0,0.0,0.0,0.0,1.0,0.0
3477.0,1.406671651,9.285994816755878E-8,3477.0,49.1,-0.33352519573908296,3477.0,329360.0,10.0,1.0,4869.5,1779.395448210181,23965.6,6448.025922197687,4.0,1.693123346560039,2.5,0.8465616732800195,2.5,0.8465616732800195,1.0999999999999999,0.458257569495584,0.0,0.0,0.0,0.0,1.0,0.0
3534.0,1.434694937,9.535411573392031E-8,3534.0,49.7,0.4677816385813062,3534.0,344040.0,10.0,1.0,4973.0,1827.0636429953818,25429.600000000002,7847.373226755561,4.6,2.061283311165374,2.8,1.030641655582687,2.8,1.030641655582687,1.3,0.5385164807134504,0.0,0.0,0.0,0.0,1.0,0.0
3591.0,1.464644008,9.804088280837986E-8,3591.0,49.4,-0.4287075261988034,3591.0,346776.0,10.0,1.0,5061.599999999999,1862.776721873976,25700.0,7998.6021223155685,5.4,1.9955506062794355,3.2,0.9977753031397177,3.2,0.9977753031397177,1.7000000000000002,0.5174724898753341,0.0,0.0,0.0,0.0,1.0,0.0
