learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights,KL-div
72.0,0.605629107,9.232075972863373E-9,72.0,79.16666666666666,47.368421052631575,72.0,63632.0,10.0,1.0,0.0
73.0,0.612386713,9.343317276504309E-9,73.0,79.45205479452055,47.632711621233845,73.0,63632.0,10.0,1.0,0.0
74.0,0.619088305,9.453636497623394E-9,74.0,79.72972972972973,47.88732394366195,74.0,63632.0,10.0,1.0,0.0
75.0,0.625070217,9.552108602854944E-9,75.0,80.0,48.13278008298755,75.0,63632.0,10.0,1.0,0.0
76.0,0.631928857,9.667993975149265E-9,76.0,80.26315789473685,48.369565217391305,76.0,65312.0,10.0,1.0,0.0
77.0,0.638630817,9.781232041252989E-9,77.0,80.51948051948052,50.236966824644554,77.0,65312.0,10.0,1.0,0.0
78.0,0.645398555,9.895581509619957E-9,78.0,80.76923076923077,50.46570702794243,78.0,65312.0,10.0,1.0,0.0
79.0,0.651498613,9.99866230708444E-9,79.0,79.74683544303798,48.28150572831424,79.0,65320.0,10.0,1.0,0.0
80.0,0.658365377,1.0114713367592135E-8,80.0,80.0,48.511665325824644,80.0,65328.0,10.0,1.0,0.0
81.0,0.665114559,1.0228777245229323E-8,81.0,80.24691358024691,48.73417721518988,81.0,65328.0,10.0,1.0,0.0
82.0,0.671312561,1.0333525960217754E-8,82.0,80.48780487804879,48.94941634241247,82.0,65328.0,10.0,1.0,0.0
83.0,0.678005271,1.0446649289718939E-8,83.0,79.51807228915662,46.734616836542095,83.0,65336.0,10.0,1.0,0.0
84.0,0.684792451,1.0561369395554073E-8,84.0,79.76190476190477,46.95393759286778,84.0,65336.0,10.0,1.0,0.0
85.0,0.691488239,1.0674544750857691E-8,85.0,78.82352941176471,44.96402877697841,85.0,65336.0,10.0,1.0,0.0
86.0,0.697570413,1.0777348513979886E-8,86.0,79.06976744186046,45.18413597733709,86.0,65336.0,10.0,1.0,0.0
87.0,0.704199049,1.0889388834623007E-8,87.0,79.3103448275862,45.39748953974897,87.0,65336.0,10.0,1.0,0.0
88.0,0.710850585,1.1001816221827443E-8,88.0,79.54545454545455,47.16477651767845,88.0,65336.0,10.0,1.0,0.0
89.0,0.717453889,1.1113428369102388E-8,89.0,79.7752808988764,47.371879106438875,89.0,65336.0,10.0,1.0,0.0
90.0,0.723546567,1.121640967576869E-8,90.0,80.0,48.99244332493704,90.0,65336.0,10.0,1.0,0.0
91.0,0.730165815,1.132829131602414E-8,91.0,79.12087912087912,47.01195219123504,91.0,65336.0,10.0,1.0,0.0
92.0,0.736927349,1.1442577941115541E-8,92.0,79.34782608695652,47.22222222222223,92.0,65336.0,10.0,1.0,0.0
93.0,0.743497267,1.1553625782529522E-8,93.0,78.49462365591397,45.422535211267586,93.0,65336.0,10.0,1.0,0.0
94.0,0.750038508,1.1664188911813425E-8,94.0,78.72340425531915,45.63331405436668,94.0,65336.0,10.0,1.0,0.0
95.0,0.756784908,1.1778219734924959E-8,95.0,77.89473684210526,43.913410177115544,95.0,65336.0,10.0,1.0,0.0
96.0,0.763982756,1.1899881144279831E-8,96.0,78.125,44.12416851441242,96.0,65336.0,10.0,1.0,0.0
97.0,0.769951856,1.2000773677517567E-8,97.0,78.35051546391753,45.66551080288078,97.0,65336.0,10.0,1.0,0.0
98.0,0.776627608,1.2113610374933739E-8,98.0,77.55102040816327,43.88339406559083,98.0,65336.0,10.0,1.0,0.0
99.0,0.783255964,1.222564596288528E-8,99.0,77.77777777777779,44.09650924024641,99.0,65336.0,10.0,1.0,0.0
100.0,0.790001964,1.2339670025008844E-8,100.0,78.0,44.30379746835444,100.0,65336.0,10.0,1.0,0.0
101.0,0.795990734,1.2440895029830032E-8,101.0,77.22772277227723,42.712700369913684,101.0,65336.0,10.0,1.0,0.0
102.0,0.802668462,1.255376512652678E-8,102.0,77.45098039215686,42.919708029197075,102.0,65336.0,10.0,1.0,0.0
103.0,0.809297728,1.2665816095725953E-8,103.0,76.69902912621359,41.39402560455192,103.0,65336.0,10.0,1.0,0.0
104.0,0.81601472,1.277934985100189E-8,104.0,76.92307692307693,41.60037435657464,104.0,65336.0,10.0,1.0,0.0
105.0,0.822004688,1.2880632295598181E-8,105.0,76.19047619047619,40.13683010262256,105.0,65360.0,10.0,1.0,0.0
106.0,0.828688412,1.29936452375249E-8,106.0,76.41509433962264,40.34218820351194,106.0,65360.0,10.0,1.0,0.0
107.0,0.835859904,1.3114905691865013E-8,107.0,76.63551401869158,40.54234274283176,107.0,65360.0,10.0,1.0,0.0
108.0,0.842795392,1.3232175630386928E-8,108.0,75.92592592592592,39.14174252275686,108.0,65360.0,10.0,1.0,0.0
