learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
135.0,0.216106905,4.198730825862537E-9,135.0,74.07407407407408,44.66565171565756,135.0,80576.0,10.0,0.0,138.8,4.37873649964614,5560.8,7.394893132726431
138.0,0.219497503,4.269408074532532E-9,138.0,73.91304347826086,44.46680080482897,138.0,80576.0,10.0,0.0,141.3,4.205948168962618,5560.8,7.394893132726431
141.0,0.223467147,4.352155576925725E-9,141.0,74.46808510638297,45.594855305466226,141.0,80576.0,10.0,0.0,142.00000000000003,4.281744192888375,5560.8,7.394893132726431
144.0,0.226981145,4.425434197450264E-9,144.0,73.61111111111111,44.15186772810779,144.0,80608.0,10.0,0.0,149.6,5.325410782277739,5564.0,6.559132733999372
147.0,0.23043284,4.497463597415222E-9,147.0,72.78911564625851,42.35294117647059,147.0,80664.0,10.0,0.0,158.9,5.4353779384080845,5569.6,3.10984101058416
150.0,0.233815319,4.568048609348221E-9,150.0,73.33333333333333,43.05239179954442,150.0,80664.0,10.0,0.0,159.5,5.39598616257183,5569.6,3.10984101058416
153.0,0.237322049,4.641233728132728E-9,153.0,73.8562091503268,44.11979547114683,153.0,80672.0,10.0,0.0,160.20000000000002,5.359933664597808,5570.4,3.166491223210079
156.0,0.240653663,4.7122121695449784E-9,156.0,74.35897435897436,45.14767932489451,156.0,82352.0,10.0,0.0,163.29999999999998,5.537849562580927,5570.4,3.166491223210079
159.0,0.24480404,4.800668323302849E-9,159.0,73.58490566037736,43.82570659488559,159.0,82384.0,10.0,0.0,169.4,5.729456053297438,5573.6,2.679966832298928
162.0,0.248391409,4.877125200316724E-9,162.0,74.07407407407408,45.16441005802708,162.0,82384.0,10.0,0.0,171.4,5.264556539306567,5573.6,2.679966832298928
165.0,0.251826547,4.950358936660406E-9,165.0,73.93939393939394,45.012787723785166,165.0,82408.0,10.0,0.0,178.70000000000002,5.7562526390390865,5576.0,2.065591117977243
168.0,0.255236577,5.02305739533777E-9,168.0,73.21428571428571,43.43011074528584,168.0,82408.0,10.0,0.0,183.40000000000003,6.026238922873499,5576.0,2.065591117977243
171.0,0.258650647,5.095841982809619E-9,171.0,73.09941520467837,43.27949235650418,171.0,82408.0,10.0,0.0,187.4,6.024394852043924,5576.0,2.065591117977243
174.0,0.262587962,5.179781634902788E-9,174.0,72.98850574712644,43.168867268936765,174.0,82408.0,10.0,0.0,193.5,6.593346814950828,5576.0,2.065591117977243
177.0,0.266353111,5.260050878572381E-9,177.0,72.88135593220339,43.35244699293238,177.0,82408.0,10.0,0.0,198.3,7.147726911403373,5576.0,2.065591117977243
180.0,0.26977208,5.3329469837848506E-9,180.0,72.22222222222221,41.920495611770775,180.0,82416.0,10.0,0.0,202.79999999999998,7.255342858886822,5576.8,1.8666666666666203
183.0,0.273175741,5.40551670593313E-9,183.0,71.58469945355192,40.53243344581928,183.0,82416.0,10.0,0.0,205.39999999999998,7.239091410145641,5576.8,1.8666666666666203
186.0,0.276576692,5.478028647959646E-9,186.0,72.04301075268818,41.146403797006215,186.0,82416.0,10.0,0.0,210.0,7.437144015757063,5576.8,1.8666666666666203
189.0,0.280548366,5.5627090196663305E-9,189.0,72.4867724867725,42.03137902559869,189.0,82416.0,10.0,0.0,213.29999999999998,7.309126714822593,5576.8,1.8666666666666203
192.0,0.284032027,5.636984428065932E-9,192.0,72.91666666666666,43.16939890710382,192.0,82416.0,10.0,0.0,215.10000000000002,7.224110864167146,5576.8,1.8666666666666203
195.0,0.287532853,5.711625812771833E-9,195.0,73.33333333333333,43.72294372294371,195.0,82416.0,10.0,0.0,217.9,7.1203152239833365,5576.8,1.8666666666666203
198.0,0.290958966,5.784674235766547E-9,198.0,73.73737373737373,44.53183924146104,198.0,82416.0,10.0,0.0,219.29999999999998,7.139950202129484,5576.8,1.8666666666666203
201.0,0.294356581,5.8571150506763825E-9,201.0,74.12935323383084,45.317568274563136,201.0,82416.0,10.0,0.0,221.20000000000002,7.095851683280246,5576.8,1.8666666666666203
204.0,0.297799582,5.93052354403875E-9,204.0,73.52941176470588,44.2453689644701,204.0,82416.0,10.0,0.0,225.2,7.577451931736534,5576.8,1.8666666666666203
207.0,0.301763522,6.0150390185270876E-9,207.0,73.91304347826086,44.750889679715286,207.0,82416.0,10.0,0.0,228.2,7.987212001415482,5576.8,1.8666666666666203
210.0,0.305177965,6.087838624539889E-9,210.0,73.80952380952381,44.36952124072826,210.0,82416.0,10.0,0.0,234.5,7.964155810742139,5576.8,1.8666666666666203
213.0,0.308603347,6.160871461826481E-9,213.0,74.17840375586854,45.11595221363318,213.0,82416.0,10.0,0.0,235.39999999999998,8.019697971591919,5576.8,1.8666666666666203
216.0,0.31204662,6.234285754522103E-9,216.0,74.53703703703704,45.84245076586432,216.0,82416.0,10.0,0.0,237.9,8.257589102018686,5576.8,1.8666666666666203
219.0,0.315374802,6.305246183013337E-9,219.0,74.42922374429224,45.43513080619328,219.0,82416.0,10.0,0.0,239.2,8.362349483780791,5576.8,1.8666666666666203
222.0,0.319224504,6.3873259801769434E-9,222.0,74.77477477477478,46.139849233168704,222.0,82416.0,10.0,0.0,240.5,8.234412884690416,5576.8,1.8666666666666203
225.0,0.322650892,6.460380266468145E-9,225.0,74.66666666666667,45.99772622005139,225.0,82416.0,10.0,0.0,243.1,8.123286144029262,5576.8,1.8666666666666203
228.0,0.326009289,6.531984911335426E-9,228.0,74.56140350877193,45.607107601184595,228.0,82416.0,10.0,0.0,245.6,8.044597911366083,5576.8,1.8666666666666203
231.0,0.329331527,6.602818607338188E-9,231.0,74.89177489177489,46.023688663282556,231.0,82416.0,10.0,0.0,247.6,8.085927418807456,5576.8,1.8666666666666203
234.0,0.332787178,6.676496812339045E-9,234.0,74.78632478632478,45.905493299898126,234.0,82416.0,10.0,0.0,250.6,8.026622369755952,5576.8,1.8666666666666203
