learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
81.0,0.062281,2.606099699106482E-10,81.0,74.07407407407408,39.91522430236664,81.0,16328.0
84.0,0.063346,2.65108599430985E-10,84.0,75.0,42.125984251968504,84.0,16328.0
87.0,0.064519,2.700658556487826E-10,87.0,75.86206896551724,44.17965169569202,87.0,16336.0
90.0,0.065629,2.747568653689491E-10,90.0,75.55555555555556,44.036178631995476,90.0,16336.0
93.0,0.066676,2.7918162859148454E-10,93.0,76.34408602150538,46.77419354838709,93.0,16336.0
96.0,0.067749,2.8371627132097886E-10,96.0,76.04166666666666,46.511627906976734,96.0,16336.0
99.0,0.068887,2.8853267845180304E-10,99.0,75.75757575757575,45.454545454545446,99.0,16360.0
102.0,0.07003,2.933702473011282E-10,102.0,74.50980392156863,43.45415778251599,102.0,16360.0
105.0,0.071095,2.97877693341838E-10,105.0,74.28571428571429,43.31133773245351,105.0,16360.0
108.0,0.072152,3.0235128063294626E-10,108.0,75.0,45.51569506726457,108.0,16360.0
111.0,0.073127,3.0647781574063834E-10,111.0,75.67567567567568,47.52232533706883,111.0,16360.0
114.0,0.074372,3.117470836473836E-10,114.0,74.56140350877193,45.06480558325025,114.0,16360.0
117.0,0.075433,3.1623760031329264E-10,117.0,74.35897435897436,45.36114570361146,117.0,16360.0
120.0,0.076487,3.206984905733003E-10,120.0,74.16666666666667,45.13274336283186,120.0,16360.0
123.0,0.077453,3.247869345876906E-10,123.0,73.98373983739837,44.45385266723116,123.0,16360.0
126.0,0.078454,3.290235106315878E-10,126.0,73.80952380952381,44.24778761061947,126.0,16360.0
129.0,0.079552,3.336774412956503E-10,129.0,73.64341085271317,43.61018256621238,129.0,16384.0
132.0,0.08056,3.3794990223315033E-10,132.0,74.24242424242425,44.83775811209439,132.0,16384.0
135.0,0.08156,3.4218845475051145E-10,135.0,74.81481481481481,46.44107351225203,135.0,16384.0
138.0,0.082628,3.467152288390531E-10,138.0,74.63768115942028,46.20182668745822,138.0,16384.0
141.0,0.083777,3.51585325681501E-10,141.0,74.46808510638297,45.594855305466226,141.0,16384.0
144.0,0.084854,3.561502467426989E-10,144.0,73.61111111111111,44.15186772810779,144.0,16384.0
147.0,0.085861,3.6041846912768153E-10,147.0,73.46938775510205,43.96442185514613,147.0,16384.0
150.0,0.086805,3.6441966270407044E-10,150.0,74.0,44.6546830652791,150.0,16384.0
153.0,0.087849,3.688447115321954E-10,153.0,74.50980392156863,45.69036133612451,153.0,16384.0
156.0,0.088841,3.7304935562941764E-10,156.0,75.0,46.68769716088328,156.0,16384.0
159.0,0.089904,3.775549369553725E-10,159.0,74.84276729559748,46.50067294751008,159.0,16384.0
162.0,0.090969,3.8206899538636213E-10,162.0,75.30864197530865,47.77562862669246,162.0,16384.0
165.0,0.092021,3.86527952634626E-10,165.0,75.15151515151514,47.57033248081841,165.0,16384.0
168.0,0.093106,3.911267821159628E-10,168.0,75.0,47.06676669167293,168.0,16384.0
171.0,0.094225,3.958697223828899E-10,171.0,74.85380116959064,46.8445022771633,171.0,16384.0
174.0,0.09521,4.000446966124906E-10,174.0,74.71264367816092,46.67038172192811,174.0,16384.0
177.0,0.096413,4.0514367529087604E-10,177.0,75.14124293785311,48.073076410188015,177.0,16384.0
180.0,0.097341,4.0907705202698716E-10,180.0,73.88888888888889,45.51777434312211,180.0,16384.0
183.0,0.098256,4.129553275803726E-10,183.0,73.77049180327869,45.106861642294724,183.0,16384.0
186.0,0.099314,4.1743971614374065E-10,186.0,74.19354838709677,45.67360350492881,186.0,16384.0
189.0,0.100262,4.21457863930199E-10,189.0,74.07407407407408,45.494673650756276,189.0,16384.0
192.0,0.101305,4.2587867420580665E-10,192.0,74.47916666666666,46.557600545330594,192.0,16384.0
195.0,0.102336,4.3024862185120596E-10,195.0,74.35897435897436,46.12068965517243,195.0,16384.0
198.0,0.103375,4.3465247791674416E-10,198.0,74.74747474747475,46.89411007402639,198.0,16384.0
201.0,0.10439,4.389546087218657E-10,201.0,75.12437810945273,47.64534277974578,201.0,16384.0
204.0,0.1054,4.432355467644004E-10,204.0,75.49019607843137,48.3753416337686,204.0,16384.0
207.0,0.106459,4.4772417388028584E-10,207.0,75.84541062801932,48.843416370106766,207.0,16384.0
210.0,0.107443,4.5189490955736917E-10,210.0,75.71428571428571,48.41537424140255,210.0,16384.0
213.0,0.108256,4.5534085275398376E-10,213.0,75.5868544600939,47.99511691238615,213.0,16384.0
216.0,0.10906,4.5874864897794207E-10,216.0,75.46296296296296,47.81181619256017,216.0,16384.0
219.0,0.109924,4.624107583529421E-10,219.0,75.79908675799086,48.24080267558528,219.0,16384.0
222.0,0.110726,4.658100774718657E-10,222.0,76.12612612612612,48.910117238384714,222.0,16384.0
225.0,0.111512,4.691415797505115E-10,225.0,76.0,48.7255232950709,225.0,16384.0
228.0,0.112328,4.726002386046782E-10,228.0,76.31578947368422,49.12396694214877,228.0,16384.0
231.0,0.113182,4.762199624545046E-10,231.0,76.62337662337663,49.506152849740936,231.0,16384.0
234.0,0.114047,4.79886310382022E-10,234.0,76.92307692307693,50.377002827521224,234.0,16384.0
237.0,0.11513,4.844766627583241E-10,237.0,76.37130801687763,49.40530649588288,237.0,16384.0
240.0,0.115952,4.879607529275949E-10,240.0,76.66666666666667,50.236966824644554,240.0,16384.0
243.0,0.116795,4.915338526997303E-10,243.0,76.5432098765432,50.048685491723454,243.0,16384.0
246.0,0.117534,4.946661430100602E-10,246.0,76.82926829268293,50.41374920432846,246.0,16384.0
249.0,0.118282,4.978365802930463E-10,249.0,77.10843373493977,50.98594467658943,249.0,16384.0
252.0,0.119137,5.0146054269539E-10,252.0,76.5873015873016,50.0537489922064,252.0,16384.0
255.0,0.119991,5.050802665452164E-10,255.0,76.47058823529412,49.885358663609544,255.0,16384.0
258.0,0.120891,5.088949638108414E-10,258.0,76.74418604651163,50.44179792547061,258.0,16384.0
261.0,0.121855,5.129809284375776E-10,261.0,76.62835249042146,50.06429758805633,261.0,16384.0
264.0,0.122754,5.167913871506852E-10,264.0,76.89393939393939,50.6072874493927,264.0,16384.0
267.0,0.123565,5.20228853242265E-10,267.0,76.77902621722846,50.437125748502986,267.0,16384.0
270.0,0.124387,5.237129434115358E-10,270.0,76.66666666666667,50.07337833871443,270.0,16384.0
273.0,0.125217,5.272309420009456E-10,273.0,76.19047619047619,49.03644561877135,273.0,16384.0
276.0,0.125974,5.304395262565879E-10,276.0,76.44927536231883,49.76478494623655,276.0,16384.0
279.0,0.126784,5.338727537956504E-10,279.0,76.70250896057348,50.281014393420165,279.0,16384.0
282.0,0.127607,5.373610825174385E-10,282.0,76.95035460992908,51.148659453120814,282.0,16384.0
285.0,0.128352,5.405188041428725E-10,285.0,76.84210526315789,50.81066945606694,285.0,16384.0
288.0,0.129141,5.438630220790704E-10,288.0,76.73611111111111,50.46719375705925,288.0,16384.0
291.0,0.130033,5.476438109245565E-10,291.0,76.6323024054983,50.31636034950287,291.0,16384.0
294.0,0.131065,5.520179971224732E-10,294.0,76.87074829931973,50.971159505591515,294.0,16384.0
297.0,0.13207,5.562777424024211E-10,297.0,76.76767676767676,50.80774862574713,297.0,16384.0
300.0,0.132894,5.597703096767267E-10,300.0,76.66666666666667,50.490380988306306,300.0,16384.0
303.0,0.133651,5.62978893932369E-10,303.0,76.89768976897689,50.95726970033295,303.0,16384.0
