learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights,KL-div
536130.0,23.452661557,3.4282628493901355E-7,536130.0,100.0,?,536130.0,57640.0,10.0,0.0,0.0
543789.0,23.788841683,3.4783923798826845E-7,543789.0,100.0,?,543789.0,57640.0,10.0,0.0,0.0
551448.0,24.124630139,3.528463506467062E-7,551448.0,100.0,?,551448.0,57640.0,10.0,0.0,0.0
559107.0,24.458977973,3.578319814569049E-7,559107.0,100.0,?,559107.0,57640.0,10.0,0.0,0.0
566766.0,24.792536465,3.628058419865909E-7,566766.0,100.0,?,566766.0,57640.0,10.0,0.0,0.0
574425.0,25.126974145,3.6779281253624716E-7,574425.0,100.0,?,574425.0,57640.0,10.0,0.0,0.0
582084.0,25.461970747,3.7278811745646107E-7,582084.0,100.0,?,582084.0,57640.0,10.0,0.0,0.0
589743.0,25.797351837,3.777891556730329E-7,589743.0,100.0,?,589743.0,57640.0,10.0,0.0,0.0
597402.0,26.134743121,3.8282016891597466E-7,597402.0,100.0,?,597402.0,57640.0,10.0,0.0,0.0
605061.0,26.473113163,3.8786577691785996E-7,605061.0,100.0,?,605061.0,57640.0,10.0,0.0,0.0
612720.0,26.810115315,3.9289098761539495E-7,612720.0,100.0,?,612720.0,57640.0,10.0,0.0,0.0
620379.0,27.148389797,3.980891915301937E-7,620379.0,100.0,?,620379.0,59400.0,10.0,0.0,0.0
628038.0,27.485910179,4.032758073241595E-7,628038.0,100.0,?,628038.0,59400.0,10.0,0.0,0.0
635697.0,27.825038813,4.084871368411142E-7,635697.0,100.0,?,635697.0,59400.0,10.0,0.0,0.0
643356.0,28.164975447,4.137108827506337E-7,643356.0,100.0,?,643356.0,59400.0,10.0,0.0,0.0
651015.0,28.503056209,4.1890610980458146E-7,651015.0,100.0,?,651015.0,59400.0,10.0,0.0,0.0
658674.0,28.841379507,4.241050638661865E-7,658674.0,100.0,?,658674.0,59400.0,10.0,0.0,0.0
666333.0,29.179436955,4.2929993265803494E-7,666333.0,100.0,?,666333.0,59400.0,10.0,0.0,0.0
673992.0,29.518158469,4.345050060342211E-7,673992.0,100.0,?,673992.0,59400.0,10.0,0.0,0.0
681651.0,29.858336019,4.397324540571455E-7,681651.0,100.0,?,681651.0,59400.0,10.0,0.0,0.0
689310.0,30.197975611,4.449516353749815E-7,689310.0,100.0,?,689310.0,59400.0,10.0,0.0,0.0
696969.0,30.537943529,4.5017586202017553E-7,696969.0,100.0,?,696969.0,59400.0,10.0,0.0,0.0
704628.0,30.878120641,4.5541034363740436E-7,704628.0,100.0,?,704628.0,59480.0,10.0,0.0,0.0
712287.0,31.219214425,4.6065893056202683E-7,712287.0,100.0,?,712287.0,59480.0,10.0,0.0,0.0
719946.0,31.560137607,4.659048923452116E-7,719946.0,100.0,?,719946.0,59480.0,10.0,0.0,0.0
727605.0,31.900237099,4.7113817958325146E-7,727605.0,100.0,?,727605.0,59480.0,10.0,0.0,0.0
735264.0,32.240512847,4.763741789637589E-7,735264.0,100.0,?,735264.0,59480.0,10.0,0.0,0.0
742923.0,32.581213149,4.816167111768118E-7,742923.0,100.0,?,742923.0,59480.0,10.0,0.0,0.0
750582.0,32.922591143,4.86869671388078E-7,750582.0,100.0,?,750582.0,59480.0,10.0,0.0,0.0
758241.0,33.264541734,4.921314424462968E-7,758241.0,100.0,?,758241.0,59480.0,10.0,0.0,0.0
765900.0,33.604096418,4.973563464411369E-7,765900.0,100.0,?,765900.0,59480.0,10.0,0.0,0.0
765952.0,33.6108533,4.974603180881735E-7,765952.0,100.0,?,765952.0,59480.0,10.0,0.0,0.0
