learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
140000.0,6.936649402,9.911006063544914E-8,140000.0,60.099999999999994,18.710119062171465,140000.0,54992.0,10.0,755.0,763470.8,228196.2797475892,3288.0,0.0
150000.0,7.431931953,1.0596245036975996E-7,150000.0,57.699999999999996,15.255595534791283,150000.0,53480.0,10.0,801.0,526688.7,233841.3421130779,3288.0,0.0
160000.0,7.945664395,1.1340501557826787E-7,160000.0,63.7,27.27491285010217,160000.0,56000.0,10.0,856.0,1140350.5999999999,445922.5134132411,3288.0,0.0
170000.0,8.47786766,1.2083760640110198E-7,170000.0,57.099999999999994,14.661510550940509,170000.0,53984.0,10.0,921.0,1137387.9,488214.5353615776,3288.0,0.0
180000.0,8.969409304,1.2800141468283823E-7,180000.0,71.7,43.38097600793866,180000.0,56336.0,10.0,955.0,772988.3,416924.0227049648,3288.0,0.0
190000.0,9.453486458,1.3478292953157798E-7,190000.0,62.7,25.40537081330145,190000.0,54152.0,10.0,1017.0,1579714.7,854663.3349328463,3288.0,0.0
200000.0,9.941476014,1.4172529817792483E-7,200000.0,70.1,40.23012401749518,200000.0,54992.0,10.0,1061.0,1267089.2999999998,670756.4650345666,3288.0,0.0
210000.0,10.426584329,1.4862667693640415E-7,210000.0,58.8,17.469271325780024,210000.0,54992.0,10.0,1121.0,1147495.9000000001,431058.92855938565,3288.0,0.0
220000.0,10.909708556,1.5549982912701243E-7,220000.0,62.0,24.0,220000.0,54992.0,10.0,1176.0,1386182.2,427612.65712882415,3288.0,0.0
230000.0,11.398275795,1.6257781999876306E-7,230000.0,67.10000000000001,34.44230125456314,230000.0,56000.0,10.0,1224.0,1650624.7,650382.0987994681,3288.0,0.0
240000.0,11.881884483,1.6939480896274454E-7,240000.0,67.7,34.958760229396226,240000.0,54488.0,10.0,1286.0,1832341.5999999999,824457.113287461,3288.0,0.0
250000.0,12.362081161,1.7614283177158276E-7,250000.0,63.800000000000004,27.110180412371133,250000.0,54320.0,10.0,1344.0,2149508.9,1386985.0978627023,3288.0,0.0
260000.0,12.844899653,1.832424597764698E-7,260000.0,62.5,24.680040813375214,260000.0,56840.0,10.0,1396.0,1640962.9,378266.2745911624,3288.0,0.0
270000.0,13.330774182,1.901969729408394E-7,270000.0,62.2,24.250015029758913,270000.0,55328.0,10.0,1446.0,1916783.6,791395.6445018327,3288.0,0.0
280000.0,13.812101802,1.9710732373530872E-7,280000.0,56.8,13.734918587329398,280000.0,55496.0,10.0,1511.0,2262060.3,908726.3114996976,3288.0,0.0
290000.0,14.300058398,2.0409163834325347E-7,290000.0,71.5,42.95253651037663,290000.0,55328.0,10.0,1564.0,1899752.5,802219.6708818082,3288.0,0.0
300000.0,14.789534501,2.1086369404482342E-7,300000.0,56.00000000000001,11.737330294957797,300000.0,53480.0,10.0,1620.0,1274970.6,504439.21782182367,3288.0,0.0
310000.0,15.274201974,2.1765347876755104E-7,310000.0,66.2,32.364288344245765,310000.0,54152.0,10.0,1675.0,1022982.2000000001,573705.8626154617,3288.0,0.0
320000.0,15.761936035,2.2417633273431615E-7,320000.0,66.0,32.0225685072556,320000.0,51696.0,10.0,1730.0,1366108.7999999998,428327.674753902,2976.8,311.2
330000.0,16.240283378,2.3106468592272242E-7,330000.0,63.7,27.36804193845292,330000.0,55664.0,10.0,1807.0,1988761.8,662659.3511507803,3288.0,0.0
340000.0,16.731010951,2.3813131834282435E-7,340000.0,56.39999999999999,12.878409431511628,340000.0,55664.0,10.0,1836.0,1476348.1,448253.96736452,3288.0,0.0
350000.0,17.216593851,2.450605530385487E-7,350000.0,61.6,23.19723510046362,350000.0,55160.0,10.0,1884.0,2195051.2,940243.0225890278,3288.0,0.0
360000.0,17.702134519,2.5142745842738076E-7,360000.0,55.900000000000006,11.725849713759573,360000.0,50688.0,10.0,1931.0,2109342.9000000004,1060685.0265954696,2976.8,311.2
370000.0,18.186045036,2.5826973358193824E-7,370000.0,65.4,31.011931346902315,370000.0,54656.0,10.0,1984.0,5067688.0,2684328.427942548,3288.0,0.0
380000.0,18.671700033,2.6522110449847865E-7,380000.0,66.9,33.71037642893192,380000.0,55328.0,10.0,2039.0,2726100.7,812744.2251666065,3288.0,0.0
390000.0,19.154192666,2.7206430137637586E-7,390000.0,63.5,26.9509110122002,390000.0,54824.0,10.0,2091.0,2821956.8000000003,1321588.7862362214,3288.0,0.0
400000.0,19.637780061,2.791332006727759E-7,400000.0,65.2,30.087912441137238,400000.0,56504.0,10.0,2143.0,3129104.6,1441569.5224540138,3288.0,0.0
410000.0,20.124468343,2.859089906145694E-7,410000.0,67.2,33.99446197437053,410000.0,53816.0,10.0,2193.0,1856363.4,423106.93048779573,3288.0,0.0
420000.0,20.61112371,2.927477749440177E-7,420000.0,62.1,24.073658567856903,420000.0,54320.0,10.0,2241.0,3806200.9000000004,1971249.325770935,3288.0,0.0
430000.0,21.12140971,2.999629874613322E-7,430000.0,62.0,23.559703894431927,430000.0,54656.0,10.0,2302.0,1582667.7,428416.97083389445,3288.0,0.0
440000.0,21.653596592,3.07325960212116E-7,440000.0,62.6,24.898090323098863,440000.0,53480.0,10.0,2346.0,1593400.4,677875.1605581992,3288.0,0.0
450000.0,22.136351886,3.140469941601509E-7,450000.0,63.2,26.251322666495657,450000.0,53816.0,10.0,2400.0,2377321.2,1026392.7300220882,3288.0,0.0
460000.0,22.625817751,3.2111673061403134E-7,460000.0,63.4,26.819904985843856,460000.0,55832.0,10.0,2448.0,2920069.8000000003,1039106.8718735315,3288.0,0.0
470000.0,23.114776364,3.2822164239727167E-7,470000.0,65.60000000000001,30.813385196477928,470000.0,56168.0,10.0,2494.0,2268139.5,688328.9391124833,3288.0,0.0
480000.0,23.602776361,3.3520657822079335E-7,480000.0,61.199999999999996,22.747635639621695,480000.0,55328.0,10.0,2539.0,3566550.9000000004,1245501.405030765,3288.0,0.0
490000.0,24.086873828,3.4196733792898763E-7,490000.0,60.5,21.00821514562486,490000.0,53984.0,10.0,2588.0,1797539.8,743478.2518635527,3288.0,0.0
500000.0,24.569860734,3.483847215478888E-7,500000.0,62.6,24.853725969266367,500000.0,51360.0,10.0,2638.0,2842318.6,790423.2713705458,2976.8,311.2
510000.0,25.055236519,3.5541647705943426E-7,510000.0,59.599999999999994,16.853266596417274,510000.0,56000.0,10.0,2684.0,4064050.3,2290848.0959907016,3288.0,0.0
520000.0,25.536903101,3.623316942821505E-7,520000.0,65.10000000000001,30.18827162963379,520000.0,55496.0,10.0,2737.0,3718971.3,1290607.2351070426,3288.0,0.0
530000.0,26.019094842,3.687175557655717E-7,530000.0,56.10000000000001,12.17048928439958,530000.0,51192.0,10.0,2789.0,4789465.399999999,1670894.3187478122,2976.8,311.2
540000.0,26.505496737,3.7563733760076264E-7,540000.0,68.5,36.92784545520076,540000.0,54992.0,10.0,2831.0,2857736.5,1274350.2100410427,3288.0,0.0
550000.0,26.987763373,3.8235156833597356E-7,550000.0,60.4,21.027440970006378,550000.0,53816.0,10.0,2885.0,2487307.6,1100782.1409655267,3288.0,0.0
560000.0,27.478615158,3.886814522035068E-7,560000.0,56.10000000000001,12.317844816566547,560000.0,49848.0,10.0,2927.0,4289249.5,2439707.373412868,2976.7999999999997,311.20000000000005
570000.0,27.96128047,3.955270981890439E-7,570000.0,64.8,29.42836979534228,570000.0,54824.0,10.0,2977.0,3139824.0,958009.4790417147,3288.0,0.0
580000.0,28.442715768,4.0233437486997697E-7,580000.0,56.599999999999994,13.130504403522817,580000.0,54656.0,10.0,3033.0,3099236.8,1232749.8363687024,3288.0,0.0
590000.0,28.924966001,4.0904837723872307E-7,590000.0,60.5,20.751476630713913,590000.0,53816.0,10.0,3075.0,3184820.4999999995,909413.7052284381,3288.0,0.0
600000.0,29.403202243,4.154026394086703E-7,600000.0,67.2,33.59114008625054,600000.0,51360.0,10.0,3138.0,3445426.4,1123385.0826702518,2976.7999999999997,311.2
610000.0,29.881593943,4.2227083962573353E-7,610000.0,64.2,28.48153105459776,610000.0,55496.0,10.0,3192.0,3850392.6999999997,1269748.1737712405,3288.0,0.0
620000.0,30.360874764,4.2917263519288756E-7,620000.0,73.9,47.72807382958951,620000.0,55664.0,10.0,3246.0,2771813.6,1010028.3776790873,3288.0,0.0
630000.0,30.84155167,4.359482975098614E-7,630000.0,61.9,23.252947006260605,630000.0,54488.0,10.0,3304.0,2566783.0,1020079.8684933231,3288.0,0.0
640000.0,31.321739237,4.42675322507597E-7,640000.0,64.1,28.233299748916508,640000.0,54152.0,10.0,3361.0,3976621.6,1745106.6654451445,3288.0,0.0
650000.0,31.804190525,4.4958083747762144E-7,650000.0,76.7,53.25527834174605,650000.0,55328.0,10.0,3408.0,3390717.1,1426005.8145729783,3288.0,0.0
660000.0,32.283582263,4.565675710429271E-7,660000.0,63.0,25.925332735397287,660000.0,56336.0,10.0,3475.0,5124831.4,2114985.40734325,3288.0,0.0
670000.0,32.765016156,4.6341667574805303E-7,670000.0,67.30000000000001,34.63451297714807,670000.0,54992.0,10.0,3525.0,5595413.699999999,2190999.4458707045,3288.0,0.0
680000.0,33.24548038,4.7027286728814855E-7,680000.0,66.2,32.47427829387675,680000.0,55160.0,10.0,3586.0,3905095.4,1301671.3480437642,3288.0,0.0
690000.0,33.724312228,4.768768455210885E-7,690000.0,59.0,17.84620810156612,690000.0,53312.0,10.0,3652.0,3985667.9999999995,1899700.227163363,3288.0,0.0
700000.0,34.205306593,4.836569827669733E-7,700000.0,58.5,17.12199642126788,700000.0,54488.0,10.0,3711.0,4138850.1,1332193.8638791481,3288.0,0.0
710000.0,34.68980443,4.906549621256874E-7,710000.0,54.900000000000006,9.952720186563589,710000.0,55832.0,10.0,3760.0,5398594.8,2575813.72653158,3288.0,0.0
720000.0,35.181350559,4.976906551307543E-7,720000.0,59.9,19.822449714080044,720000.0,55328.0,10.0,3806.0,5312867.7,1931821.174364071,3288.0,0.0
730000.0,35.669313187,5.044417714300937E-7,730000.0,57.4,14.570365141500341,730000.0,53480.0,10.0,3844.0,2690235.1,1612364.7389629062,3288.0,0.0
740000.0,36.151013297,5.115877606785814E-7,740000.0,63.6,27.231436019639517,740000.0,57344.0,10.0,3882.0,5109789.2,1911277.0193818337,3288.0,0.0
750000.0,36.635999197,5.18466319582307E-7,750000.0,63.2,26.354339690608175,750000.0,54824.0,10.0,3932.0,5026514.0,1907022.41654045,3288.0,0.0
