learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
3078.0,0.668335,2.0852053713881314E-8,3078.0,51.6,1.1437908496732125,3078.0,124088.0,10.0,0.0,3088.2999999999993,26.821653772858816,9480.0,0.0
3135.0,0.680979,2.1257947031408555E-8,3135.0,51.800000000000004,1.3911620294599076,3135.0,124088.0,10.0,0.0,3145.1999999999994,26.6936530117388,9480.0,0.0
3192.0,0.691633,2.1599958056790966E-8,3192.0,52.2,1.3761941114572709,3192.0,124088.0,10.0,0.0,3201.9,27.660019281747914,9480.0,0.0
3249.0,0.700994,2.1900461643106412E-8,3249.0,52.400000000000006,1.282497967580834,3249.0,124088.0,10.0,0.0,3258.4,28.587953951115676,9480.0,0.0
3306.0,0.710784,2.2214736839135493E-8,3306.0,52.800000000000004,1.8772217948984438,3306.0,124088.0,10.0,0.0,3311.4,28.48243123205757,9480.0,0.0
3363.0,0.720323,2.2520954519924194E-8,3363.0,52.400000000000006,1.792088073515631,3363.0,124088.0,10.0,0.0,3370.9,29.173218311778125,9480.0,0.0
3420.0,0.730199,2.283799045822687E-8,3420.0,52.0,1.5231092436974762,3420.0,124088.0,10.0,0.0,3426.8,29.909418806344814,9480.0,0.0
3477.0,0.739588,2.3139392890863953E-8,3477.0,52.2,2.2906505643839297,3477.0,124088.0,10.0,0.0,3485.3,28.83865076208972,9480.0,0.0
3534.0,0.749517,2.345813021684687E-8,3534.0,51.9,1.8711799123572865,3534.0,124088.0,10.0,0.0,3542.2000000000003,29.12646753575021,9480.0,0.0
3591.0,0.759244,2.377038300865227E-8,3591.0,51.300000000000004,1.3067233021513938,3591.0,124088.0,10.0,0.0,3597.2999999999997,29.592810688483848,9480.0,0.0
3648.0,0.768698,2.4073872048821722E-8,3648.0,51.6,2.0242914979757103,3648.0,124088.0,10.0,0.0,3653.6,29.571081970210173,9480.0,0.0
3705.0,0.777882,2.4368693642318255E-8,3705.0,51.4,1.2488164081390452,3705.0,124088.0,10.0,0.0,3706.7999999999997,29.968427831080266,9480.0,0.0
3762.0,0.787087,2.4664189370556016E-8,3762.0,51.5,1.442796179638284,3762.0,124088.0,10.0,0.0,3769.7,30.266978706174154,9480.0,0.0
3819.0,0.796595,2.496941190006005E-8,3819.0,52.300000000000004,1.807402527893287,3819.0,124088.0,10.0,0.0,3826.7,30.989621918743484,9480.0,0.0
3876.0,0.805905,2.5268278302003947E-8,3876.0,52.0,1.7890756715171898,3876.0,124088.0,10.0,0.0,3891.0,30.631864310079308,9480.0,0.0
3933.0,0.815177,2.5565924841082767E-8,3933.0,52.5,2.1756143371419663,3933.0,124088.0,10.0,0.0,3945.7999999999997,30.288538352907622,9480.0,0.0
3990.0,0.824477,2.586447022648322E-8,3990.0,52.900000000000006,4.618799209409334,3990.0,124088.0,10.0,0.0,4002.4,28.444175345949322,9480.0,0.0
4047.0,0.833707,2.6160768496079583E-8,4047.0,52.2,3.9512602880658463,4047.0,124088.0,10.0,0.0,4061.7,28.972036326238598,9480.0,0.0
4104.0,0.84348,2.6474497963984814E-8,4104.0,51.800000000000004,4.230165510938034,4104.0,124088.0,10.0,0.0,4115.5,30.006758497971003,9480.0,0.0
4161.0,0.855465,2.685923629129927E-8,4161.0,51.1,2.6850178709312793,4161.0,124088.0,10.0,0.0,4171.700000000001,28.988522633008433,9480.0,0.0
4218.0,0.866286,2.7206608292957155E-8,4218.0,51.2,3.0102594475559763,4218.0,124088.0,10.0,0.0,4231.099999999999,28.436459382669657,9480.0,0.0
4275.0,0.875517,2.7502938664207865E-8,4275.0,51.5,3.3710551482308024,4275.0,124088.0,10.0,0.0,4286.7,27.082610246757564,9480.0,0.0
4332.0,0.885055,2.7809124243342224E-8,4332.0,51.0,2.253359292713282,4332.0,124088.0,10.0,0.0,4349.9,27.69454418794031,9480.0,0.0
4389.0,0.895894,2.81570740747783E-8,4389.0,51.9,3.9268166020852493,4389.0,124088.0,10.0,0.0,4402.099999999999,29.358871458782833,9480.0,0.0
4446.0,0.905025,2.8450194280594595E-8,4446.0,51.800000000000004,3.7155413503795565,4446.0,124088.0,10.0,0.0,4460.6,28.64464270252911,9480.0,0.0
4503.0,0.914556,2.8756155148148543E-8,4503.0,51.4,2.9502330392552345,4503.0,124088.0,10.0,0.0,4516.9,27.849376613809124,9480.0,0.0
4560.0,0.924233,2.9066802857236737E-8,4560.0,50.7,1.4000000000000012,4560.0,124088.0,10.0,0.0,4579.2,27.471925062992348,9480.0,0.0
4617.0,0.933542,2.936563715752629E-8,4617.0,50.9,1.4246249718929667,4617.0,124088.0,10.0,0.0,4631.3,28.233569459854763,9480.0,0.0
4674.0,0.942978,2.9668548367917546E-8,4674.0,51.1,1.9269646696402905,4674.0,124088.0,10.0,0.0,4687.1,29.178930754912873,9480.0,0.0
4731.0,0.954384,3.003469983736675E-8,4731.0,51.2,2.161665817932497,4731.0,124088.0,10.0,0.0,4744.099999999999,29.025065795695372,9480.0,0.0
4788.0,0.965774,3.0400337680346444E-8,4788.0,51.4,2.627065668627485,4788.0,124088.0,10.0,0.0,4801.599999999999,29.207000682865225,9480.0,0.0
4845.0,0.975349,3.0707711020691536E-8,4845.0,50.5,0.39439793947198204,4845.0,124088.0,10.0,0.0,4861.700000000001,28.625959469606496,9480.0,0.0
4902.0,0.984451,3.099990027853185E-8,4902.0,50.7,0.04703668861712338,4902.0,124088.0,10.0,0.0,4919.100000000001,29.212421254588822,9480.0,0.0
4959.0,0.993714,3.129725790272157E-8,4959.0,50.4,-0.10818142185910196,4959.0,124088.0,10.0,0.0,4971.0,30.391884881768455,9480.0,0.0
5016.0,1.003289,3.160463124306666E-8,5016.0,50.5,0.496912389038987,5016.0,124088.0,10.0,0.0,5032.0,32.127177833659076,9480.0,0.0
5073.0,1.012713,3.190715723360579E-8,5073.0,50.3,0.5212128005380362,5073.0,124088.0,10.0,0.0,5089.7,32.13860606809202,9480.0,0.0
5130.0,1.023838,3.226912325455083E-8,5130.0,50.5,1.1107559533322697,5130.0,125768.0,10.0,0.0,5148.5,33.50729605457425,9480.0,0.0
5187.0,1.033602,3.2586807409922284E-8,5187.0,50.4,0.8360956611793344,5187.0,125768.0,10.0,0.0,5198.900000000001,32.96477918425463,9480.0,0.0
5244.0,1.043114,3.289629242486424E-8,5244.0,50.7,1.5968063872255502,5244.0,125768.0,10.0,0.0,5257.599999999999,31.959071047548036,9480.0,0.0
5301.0,1.052302,3.3195235687825415E-8,5301.0,50.8,1.6476025603607798,5301.0,125768.0,10.0,0.0,5313.4,32.08848876327946,9480.0,0.0
5358.0,1.063319,3.355368779144353E-8,5358.0,50.4,0.5513784461152942,5358.0,125768.0,10.0,0.0,5370.4,31.694093385922194,9480.0,0.0
5415.0,1.073237,3.387638253263301E-8,5415.0,50.4,0.42400102788128025,5415.0,125768.0,10.0,0.0,5427.599999999999,32.838053806183154,9480.0,0.0
5472.0,1.083872,3.4222405780520705E-8,5472.0,50.6,0.7103032154586494,5472.0,125768.0,10.0,0.0,5485.599999999999,32.676597130056265,9480.0,0.0
5529.0,1.096443,3.463141925012072E-8,5529.0,50.5,0.23620841159919362,5529.0,125768.0,10.0,0.0,5543.7,32.96228484529288,9480.0,0.0
5586.0,1.106696,3.496501364227798E-8,5586.0,51.2,0.8581458848004172,5586.0,125768.0,10.0,0.0,5598.299999999999,31.530954808110593,9480.0,0.0
5643.0,1.117724,3.53238236448831E-8,5643.0,51.1,0.3708080355323833,5643.0,125768.0,10.0,0.0,5655.099999999999,30.962863060267697,9480.0,0.0
5700.0,1.128285,3.5667439208676415E-8,5700.0,50.7,0.6593158590450504,5700.0,125768.0,10.0,0.0,5708.7,31.102715136927998,9480.0,0.0
5757.0,1.137957,3.598213002706567E-8,5757.0,50.8,0.5401559012840847,5757.0,125768.0,10.0,0.0,5764.6,29.640512816076573,9480.0,0.0
5758.0,1.142163,3.611897758518656E-8,5758.0,50.7,0.427374595044395,5758.0,125768.0,10.0,0.0,5765.700000000001,29.675298369744006,9480.0,0.0
